Airplane	Helicopter
Apple	Pear
Banana	Orange
Bicycle	Motorcycle
Boat	Ship
Book	Magazine
Bridge	Tunnel
Bus	Train
Car	Truck
Cat	Dog
Chair	Sofa
Cheese	Butter
Chicken	Turkey
Chocolate	Vanilla
Clock	Watch
Coat	Jacket
Coffee	Tea
Computer	Tablet
Cow	Pig
Cup	Glass
Door	Gate
Eagle	Hawk
Elephant	Falcon
Eye	Ear
Fan	Heater
Farm	Village
Fire	Ice
Fish	Shark
Flower	Tree
Fork	Spoon
Frog	Toad
Guitar	Piano
Hat	Cap
Horse	Donkey
Hospital	Clinic
House	Apartment
Ice	Snow
Island	Peninsula
Jacket	Sweater
Juice	Soda
Key	Lock
Kite	Balloon
Lake	River
Lemon	Lime
Lion	Tiger
Lizard	Snake
Monkey	Ape
Moon	Sun
Mountain	Hill
Mouse	Rat
Muffin	Cupcake
Necklace	Bracelet
Night	Day
Ocean	Sea
Pancake	Waffle
Pants	Shorts
Paper	Cardboard
Parrot	Crow
Pasta	Noodle
Peach	Plum
Pen	Pencil
Penguin	Duck
Phone	Radio
Piano	Violin
Pie	Cake
Pig	Boar
Pizza	Burger
Plane	Jet
Plate	Bowl
Potato	Tomato
Rabbit	Hamster
Rain	Snow
Ring	Earring
River	Stream
Road	Path
Robot	Android
Rock	Stone
Rose	Daisy
Salad	Soup
Salt	Sugar
Sand	Mud
Sandwich	Wrap
School	College
Scissors	Knife
Sea	Ocean
Shark	Dolphin
Sheep	Goat
Shirt	Top
Shoes	Boots
Silver	Gold
Snake	Worm
Snow	Ice
Soap	Shampoo
Socks	Stockings
Soup	Stew
Spoon	Fork
Star	Planet
Strawberry	Cherry
Street	Avenue
Sun	Moon
Sword	Axe
Table	Desk
Tea	Coffee
Tiger	Lion
Towel	Blanket
Train	Bus
Tree	Bush
Truck	Van
Turtle	Tortoise
TV	Monitor
Umbrella	Parasol
Van	Bus
Violin	Cello
Watch	Clock
Water	Juice
Whale	Dolphin
Window	Mirror
Wolf	Fox
Wood	Metal
Apple	Peach
Pear	Plum
Guitar	Bass
Piano	Keyboard
Shark	Whale
Dolphin	Seal
House	Cabin
Mansion	Villa
Car	SUV
Truck	Jeep
Bicycle	Scooter
Motorcycle	Moped
Train	Tram
Bus	Coach
Plane	Glider
Ship	Yacht
Boat	Ferry
Lake	Pond
River	Canal
Ocean	Gulf
Mountain	Cliff
Hill	Valley
Forest	Jungle
Tree	Shrub
Flower	Weed
Rose	Tulip
Cat	Kitten
Dog	Puppy
Lion	Panther
Tiger	Cheetah
Elephant	Rhino
Giraffe	Hippo
Monkey	Baboon
Ape	Chimp
Bird	Bat
Eagle	Owl
Hawk	Kite
Parrot	Pigeon
Crow	Raven
Duck	Swan
Chicken	Duckling
Turkey	Pheasant
Cow	Bull
Pig	Hog
Sheep	Ram
Goat	Deer
Horse	Pony
Donkey	Mule
Mouse	Vole
Rat	Mole
Rabbit	Hare
Hamster	Guinea Pig
Frog	Salamander
Toad	Newt
Snake	Python
Lizard	Gecko
Turtle	Terrapin
Fish	Eel
Whale	Orca
Shark	Manta
Ant	Spider
Bee	Hornet
Wasp	Yellowjacket
Butterfly	Moth
Fly	Mosquito
Beetle	Bug
Worm	Caterpillar
Hat	Helmet
Cap	Beanie
Coat	Parka
Jacket	Blazer
Shirt	Blouse
Top	Tee
Pants	Jeans
Shorts	Trunks
Shoes	Sneakers
Boots	Heels
Socks	Tights
Dress	Gown
Skirt	Kilt
Ring	Band
Necklace	Pendant
Bracelet	Bangle
Bag	Purse
Backpack	Satchel
Wallet	Clutch
Watch	Timer
Clock	Dial
Computer	Laptop
Tablet	Phone
TV	Screen
Radio	Speaker
Camera	Lens
Book	Novel
Magazine	Journal
Paper	Sheet
Pen	Marker
Pencil	Crayon
Desk	Workbench
Table	Counter
Chair	Stool
Sofa	Couch
Bed	Cot
Blanket	Quilt
Pillow	Cushion
Towel	Cloth
Window	Glass
Door	Portal
Wall	Fence
