Crew	Impostor
Coat	Jacket
Door	Gate
Star	Cloud
Pants	Shorts
Tired	Bored
Run	Walk
Juice	Soda
Belt	Strap
Pig	Boar
Penguin	Duck
Pasta	Noodle
Neck	Shoulder
Bright	Shiny
Eye	Ear
Key	Lock
Crow	Raven
Sea	Ocean
Short	Low
Shirt	Top
Bus	Train
Soup	Stew
Muffin	Cupcake
Penguin	Duck
Farm	Village
Farm	Village
Mean	Rude
Hotel	Inn
Ice	Frost
Talk	Speech
Bread	Cake
Shoes	Boots
Team	Group
Window	Mirror
Boss	Leader
Job	Work
Lime	Green
Rice	Wheat
Slow	Late
Sheep	Goat
Ant	Termite
Wash	Clean
Bus	Train
Head	Face
Pie	Tart
Peacock	Turkey
Cat	Lion
Cook	Bake
Rope	Wire
Soup	Stew
Soap	Shampoo
Kind	Sweet
White	Cream
Bag	Box
Salt	Sugar
Shelf	Rack
Fan	Heater
Mean	Rude
Crow	Raven
Push	Pull
Sand	Mud
Sheep	Goat
Clean	Neat
Donut	Bagel
Rock	Stone
Test	Exam
Rock	Stone
Camel	Horse
Church	Temple
Dress	Skirt
Mark	Grade
Cold	Hot
Sick	Weak
Dog	Wolf
Apple	Pear
Blue	Purple
Scared	Afraid
Pickle	Olive
Tap	Pipe
Duck	Goose
Fries	Chips
Full	Heavy
Dog	Wolf
Wet	Damp
Catch	Grab
Yellow	Orange
Star	Cloud
Parrot	Crow
Lemon	Lime
Mark	Grade
Crab	Lobster
Crab	Lobster
Bee	Wasp
Cafe	Diner
Jump	Hop
Plane	Jet
Throw	Kick
Tree	Bush
Road	Path
Cry	Laugh
Cream	Yogurt
Tooth	Tongue
Fries	Chips
Leaf	Branch
Cry	Laugh
Green	Teal
Towel	Cloth
Cup	Mug
Map	Guide
Hair	Skin
City	Town
Sad	Upset
Note	List
Tooth	Tongue
Seal	Dolphin
Milk	Cream
Long	Tall
Salt	Sugar
Camp	Base
Cart	Wagon
Navy	Blue
Hit	Punch
Chair	Stool
Clean	Neat
Pillow	Blanket
Fix	Build
Job	Work
Mat	Rug
Chest	Back
Horse	Donkey
Hair	Skin
Old	Young
Table	Desk
Fast	Quick
Seed	Root
Frog	Toad
Field	Farm
Frog	Toad
Bridge	Tunnel
Bag	Purse
Cave	Hole
Bed	Sofa
New	Fresh
Cafe	Diner
Pond	Pool
Shoes	Boots
Milk	Cream
Rat	Mouse
Hit	Punch
School	College
Bear	Panda
Fast	Quick
Hungry	Thirsty
Road	Street
Paper	Sheet
New	Fresh
Knife	Blade
Talk	Speech
Gold	Yellow
Donut	Bagel
River	Lake
Hill	Mountain
Shoes	Boots
Head	Face
Butter	Oil
Tomato	Pepper
Ice	Frost
Fly	Mosquito
Pond	Pool
Tap	Pipe
Brave	Bold
Sick	Weak
Open	Close
Lime	Green
Knee	Elbow
Small	Tiny
Bank	Office
Wet	Damp
Wind	Storm
Fan	Heater
Class	Lesson
Bottle	Jar
Yellow	Orange
Muffin	Cupcake
Cat	Lion
Brown	Tan
Towel	Cloth
Door	Gate
Bike	Cycle
Book	Notebook
Cut	Chop
Candy	Chocolate
Snake	Lizard
Dirty	Messy
Swim	Dive
Talk	Shout
Potato	Carrot
Nose	Mouth
Window	Mirror
Bucket	Tub
Rabbit	Hare
Honey	Jam
Big	Large
Honey	Jam
